topic_slug,part_of_speech,level,translations,meta
"general","noun","6","{""en"":""exude"",""ru"":""источать"",""et"":""eritama"",""de"":""ausstrahlen"",""no"":""utstråler""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""envisage"",""ru"":""предвидеть"",""et"":""ette näha"",""de"":""vorsehen"",""no"":""se for seg""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""headmistress"",""ru"":""директриса"",""et"":""koolijuhataja"",""de"":""Schulleiterin"",""no"":""rektor""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","verb","6","{""en"":""mien"",""ru"":""выражение лица"",""et"":""mien"",""de"":""Miene"",""no"":""mien""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","adjective","6","{""en"":""timidity"",""ru"":""робость"",""et"":""pelglikkus"",""de"":""Schüchternheit"",""no"":""fryktsomhet""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""unravel"",""ru"":""разгадать"",""et"":""lahti harutama"",""de"":""entwirren"",""no"":""nøste opp""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""concurrence"",""ru"":""согласие"",""et"":""kokkusaamine"",""de"":""Übereinstimmung"",""no"":""samstemmighet""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""unpromising"",""ru"":""бесперспективный"",""et"":""vähetõotav"",""de"":""vielversprechend"",""no"":""lite lovende""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""teem"",""ru"":""изобиловать"",""et"":""tiim"",""de"":""wimmelt es"",""no"":""teem""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
"general","noun","6","{""en"":""marvel"",""ru"":""удивляться"",""et"":""imestama"",""de"":""Wunder"",""no"":""vidunder""}","{""source"":""c2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":6}"
