'english_word';'russian_translation'
'ability';'способность'
'abroad';'за границей'
'accept';'принимать'
'acceptable';'приемлемый'
'accident';'несчастный случай'
'account';'счет'
'achieve';'достигать'
'across';'через'
'act';'действовать'
'actually';'на самом деле'
'addition';'добавление'
'additional';'дополнительный'
'adjective';'прилагательное'
'adjust';'регулировать'
'admire';'восхищаться'
'admit';'признавать'
'adult';'взрослый'
'advanced';'передовой'
'advantage';'преимущество'
'adventure';'приключение'
'advertisement';'реклама'
'advertising';'реклама'
'advice';'совет'
'advise';'советовать'
'affair';'роман'
'after';'после'
'against';'против'
'aged';'в возрасте'
'agency';'агентство'
'agent';'агент'
'ahead';'предстоящий'
'air';'воздух'
'aisle';'ряд'
'alarm';'тревога'
'alarm clock';'будильник'
'alive';'живой'
'all';'все'
'allow';'позволять'
'alone';'один'
'along';'вдоль'
'alright';'хорошо'
'although';'хотя'
'ambition';'амбиции'
'among';'среди'
'amused';'изумленный'
'amusement';'развлечение'
'ancestor';'предок'
'ancient';'древний'
'angel';'ангел'
'angrily';'сердито'
'ankle';'лодыжка'
'anniversary';'годовщина'
'annoy';'раздражать'
'annoying';'раздражающий'
'another';'другой'
'anxious';'тревожный'
'anymore';'больше'
'anyway';'в любом случае'
'anywhere';'где угодно'
'apart';'отдельно'
'apartment';'квартира'
'apologize';'извиниться'
'apparently';'видимо'
'appear';'появляться'
'appearance';'появление'
'apply';'применять'
'appointment';'встреча'
'appreciate';'ценить'
'appropriate';'соответствующий'
'architecture';'архитектура'
'area';'область'
'argue';'спорить'
'argument';'аргумент'
'armchair';'кресло'
'armed';'вооруженный'
'around';'вокруг'
'artificial';'искусственный'
'as';'как'
'asleep';'спящий'
'assistant';'помощник'
'association';'ассоциация'
'astronaut';'космонавт'
'athlete';'спортсмен'
'atom';'атом'
'attack';'атаковать'
'attempt';'пытаться'
'attention';'внимание'
'attitude';'отношение'
'attractive';'привлекательный'
'audience';'аудитория'
'audio';'аудио'
'author';'автор'
'automatic';'автоматический'
'automatically';'автоматически'
'average';'средний'
'avoid';'избегать'
'award';'награда'
'awful';'ужасный'
'back';'назад'
'background';'фон'
'badly';'плохо'
'badminton';'бадминтон'
'bake';'выпекать'
'balcony';'балкон'
'balloon';'воздушный шар'
'bank';'банк'
'banking';'банковское дело'
'barbecue';'барбекю'
'barber';'парикмахер'
'bargain';'торговаться'
'base';'база'
'basic';'базовый'
'basically';'по сути'
'basket';'корзина'
'batch';'партия'
'battery';'батарея'
'bay';'залив'
'bear';'медведь'
'beauty';'красота'
'been';'был'
'beer';'пиво'
'before';'до'
'beg';'просить'
'beginner';'новичок'
'beginning';'начало'
'behavior';'поведение'
'being';'существование'
'belly';'живот'
'belong';'принадлежать'
'belt';'пояс'
'bench';'лавка'
'bend';'сгибать'
'besides';'кроме'
'better';'лучше'
'beyond';'вне'
'bill';'счет'
'bit';'кусочек'
'bite';'кусать'
'blackboard';'доска'
'blame';'обвинять'
'blanket';'одеяло'
'blonde';'блондинка'
'blood';'кровь'
'bloom';'цвести'
'blow';'дуть'
'board game';'настольная игра'
'boil';'варить'
'boiled';'вареный'
'bonus';'бонус'
'bookcase';'книжный шкаф'
'bookshelf';'книжная полка'
'bookshop';'книжный магазин'
'bored';'скучающий'
'boss';'босс'
'bother';'беспокоить'
'bra';'бюстгальтер'
'brainstorm';'мозговой штурм'
'brake';'тормоз'
'branch';'ветвь'
'brand';'бренд'
'brave';'храбрый'
'break';'перерыв'
'breeze';'ветер'
'bride';'невеста'
'brilliant';'блестящий'
'brown';'коричневый'
'budget';'бюджет'
'bug';'ошибка'
'bulb';'лампочка'
'burn';'гореть'
'bury';'хоронить'
'bus station';'автовокзал'
'bus stop';'автобусная остановка'
'bush';'куст'
'businessman';'бизнесмен'
'businesswoman';'деловая женщина'
'cab';'такси'
'cafeteria';'столовая'
'calendar';'календарь'
'call';'вызов'
'camp';'лагерь'
'camping';'кемпинг'
'campus';'кампус'
'can';'может'
'capital';'капитал'
'capital letter';'заглавная буква'
'captain';'капитан'
'car park';'автостоянка'
'carrot';'морковь'
'cash';'наличные'
'cassette';'кассета'
'castle';'замок'
'cause';'причина'
'cent';'цент'
'center';'центр'
'centimeter';'сантиметр'
'century';'век'
'cereal';'злак'
'certain';'определенный'
'certainly';'конечно'
'chain';'цепь'
'chairman';'председатель'
'challenge';'испытание'
'champagne';'шампанское'
'championship';'чемпионат'
'chance';'шанс'
'chapter';'глава'
'chart';'диаграмма'
'chat';'чат'
'cheap';'дешевый'
