topic_slug,part_of_speech,level,translations,meta
"general","noun","3","{""en"":""abandon"",""ru"":""покидать"",""et"":""loobuma"",""de"":""aufgeben"",""no"":""forlate""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","adjective","3","{""en"":""able"",""ru"":""способный"",""et"":""võimeline"",""de"":""fähig"",""no"":""i stand""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","adjective","3","{""en"":""abnormal"",""ru"":""аномальный"",""et"":""ebanormaalne"",""de"":""anormal"",""no"":""unormalt""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""aboard"",""ru"":""на борту"",""et"":""pardal"",""de"":""an Bord"",""no"":""ombord""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""aborigine"",""ru"":""абориген"",""et"":""aborigeen"",""de"":""Ureinwohner"",""no"":""aboriginsk""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"grammar","preposition","3","{""en"":""above"",""ru"":""выше"",""et"":""eespool"",""de"":""oben"",""no"":""ovenfor""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""absence"",""ru"":""отсутствие"",""et"":""puudumine"",""de"":""Abwesenheit"",""no"":""fravær""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","adjective","3","{""en"":""absent"",""ru"":""отсутствующий"",""et"":""puudub"",""de"":""abwesend"",""no"":""fraværende""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""absolute"",""ru"":""абсолютный"",""et"":""absoluutne"",""de"":""absolut"",""no"":""absolutt""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","adverb","3","{""en"":""absolutely"",""ru"":""абсолютно"",""et"":""absoluutselt"",""de"":""absolut"",""no"":""absolutt""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""absorb"",""ru"":""поглощать"",""et"":""absorbeerima"",""de"":""absorbieren"",""no"":""absorbere""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
"general","noun","3","{""en"":""abstract"",""ru"":""абстрактный"",""et"":""abstraktne"",""de"":""abstrakt"",""no"":""abstrakt""}","{""source"":""b1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":3}"
