topic_slug,part_of_speech,level,translations,meta
time,noun,1,"{""en"":""a.m."",""ru"":""утро"",""et"":""a.m."",""de"":""bin."",""no"":""a.m.""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""about"",""ru"":""о"",""et"":""umbes"",""de"":""ungefähr"",""no"":""ca""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""above"",""ru"":""выше"",""et"":""eespool"",""de"":""oben"",""no"":""ovenfor""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""action"",""ru"":""действие"",""et"":""tegevust"",""de"":""Aktion"",""no"":""handling""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""activity"",""ru"":""активность"",""et"":""tegevust"",""de"":""Aktivität"",""no"":""aktivitet""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""actor"",""ru"":""актер"",""et"":""näitleja"",""de"":""Schauspieler"",""no"":""skuespiller""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""add"",""ru"":""добавлять"",""et"":""lisada"",""de"":""hinzufügen"",""no"":""legge til""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
places,noun,1,"{""en"":""address"",""ru"":""адрес"",""et"":""aadress"",""de"":""Adresse"",""no"":""adresse""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
emotions,adjective,1,"{""en"":""afraid"",""ru"":""испуганный"",""et"":""kardan"",""de"":""Angst"",""no"":""redd""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""after"",""ru"":""после"",""et"":""pärast"",""de"":""danach"",""no"":""etter""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""afternoon"",""ru"":""полдень"",""et"":""pärastlõunal"",""de"":""Nachmittag"",""no"":""ettermiddag""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""again"",""ru"":""снова"",""et"":""uuesti"",""de"":""wieder"",""no"":""igjen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
time,noun,1,"{""en"":""age"",""ru"":""возраст"",""et"":""vanus"",""de"":""Alter"",""no"":""alder""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""ago"",""ru"":""назад"",""et"":""tagasi"",""de"":""vor"",""no"":""siden""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""agree"",""ru"":""соглашаться"",""et"":""nõus"",""de"":""stimme zu"",""no"":""enig""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
transport,noun,1,"{""en"":""airplane"",""ru"":""самолет"",""et"":""lennuk"",""de"":""Flugzeug"",""no"":""fly""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
transport,noun,1,"{""en"":""airport"",""ru"":""аэропорт"",""et"":""lennujaam"",""de"":""Flughafen"",""no"":""flyplass""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""album"",""ru"":""альбом"",""et"":""album"",""de"":""Album"",""no"":""album""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,pronoun,1,"{""en"":""all"",""ru"":""все"",""et"":""kõik"",""de"":""alle"",""no"":""alle""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""all right"",""ru"":""все в порядке"",""et"":""kõik korras"",""de"":""Alles klar"",""no"":""greit""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""almost"",""ru"":""почти"",""et"":""peaaegu"",""de"":""fast"",""no"":""nesten""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""alone"",""ru"":""один"",""et"":""üksi"",""de"":""allein"",""no"":""alene""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,preposition,1,"{""en"":""along"",""ru"":""вдоль"",""et"":""kaasa"",""de"":""entlang"",""no"":""sammen""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""already"",""ru"":""уже"",""et"":""juba"",""de"":""schon"",""no"":""allerede""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""also"",""ru"":""также"",""et"":""samuti"",""de"":""auch"",""no"":""også""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,adverb,1,"{""en"":""always"",""ru"":""всегда"",""et"":""alati"",""de"":""immer"",""no"":""alltid""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
actions,verb,1,"{""en"":""am"",""ru"":""являюсь"",""et"":""olen"",""de"":""bin"",""no"":""am""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
general,noun,1,"{""en"":""an"",""ru"":""а"",""et"":""an"",""de"":""ein"",""no"":""an""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
grammar,conjunction,1,"{""en"":""and"",""ru"":""и"",""et"":""ja"",""de"":""und"",""no"":""og""}","{""source"":""a1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review""}"
